고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
연세우리치과,,경기도,성남시,분당구 황새울로 325,031-707-2852,INTEGO ECO Electric Version,INTEGO ECO ELEC,226004,2016-03-28,108480,EAST
연세우리치과,,경기도,성남시,분당구 황새울로 325,031-707-2852,INTEGO ECO Electric Version,INTEGO ECO ELEC,226003,2016-03-28,108480,EAST
서울그루치과의원,,경기도,용인시,수지구 수지로 74,031-264-2275,INTEGO_Comfort,6427285-1,201843,2015-06-30,108724,EAST
연세주니어치과,,서울특별시,양천구,신정동  323-9번지 이스타빌3차 B동 205호,02-2646-2875,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91534,2015-08-25,109951,WEST
강서굿모닝치과,,서울특별시,강서구,화곡8동  342-56번지 삼경빌딩 2층,02-2602-1123,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91533,2015-08-17,109525,WEST
미래치과,,경기도,광명시,철산3동  482번지 신철산빌딩 3층 301호,02-2682-2975,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,90934,2015-07-30,108777,WEST
국군기무사령부,,경기도,과천시,주암동 300번지,,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91625,2015-09-30,,WEST
포인트치과,,서울특별시,중구,명동7가길 20,02-3789-7579,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91482,2015-05-19,109151,WEST
서울명문치과,,강원특별자치도,홍천군,홍천읍 홍천로3길 16 ,033-436-2804,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91463,2015-04-29,105972,EAST
광안미치과의원_부산 수영구,,부산광역시,수영구,광안2동  143-6번지 광안클리닉센터 7층,051-752-7171,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91101,2015-04-13,104142,EAST
빛소치과의원,,서울특별시,동대문구,답십리로 105-1,1544-5025,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91100,2015-03-31,108872,EAST
이장규치과의원,6306786 2D extension warranty(XG only),전북특별자치도,익산시,부송동  1039번지 서울은행2층,063-831-2888,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92754,2021-02-24,111947,WEST
가인치과의원_전북 익산시,6306786 2D extension warranty(XG only),전북특별자치도,익산시,부송동  677-16번지,063-831-2835,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92770,2021-03-30,111977,WEST
서울토토치과의원,6306786 2D extension warranty(XG only),서울특별시,강남구,도곡로 521 203호,02-539-1106,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92666,2020-06-29,107117,EAST
22세기서울치과병원,6306786 2D extension warranty(XG only),인천광역시,연수구,컨벤시아대로 69,032-858-2080,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92455,2019-05-03,107908,WEST
연세우일치과병원,,충청남도,천안시,서북구 서부대로 350,041-579-8787,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92397,2018-09-19,103684,WEST
변치과의원_충남 논산시,,충청남도,논산시,연무읍  안심리 1-25번지,041-741-6668,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91462,2019-02-13,102623,WEST
분당어린이치과의원,,경기도,성남시,분당구 장안로 27,031-716-5275,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92069,2018-04-19,109070,EAST
미인치과,,경기도,부천시,원미 상동 464,032-327-2812,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92465,2018-08-17,109405,WEST
인하대학교의과대학부속병원 (인하대병원),,인천광역시,중구,인항로 27,032-890-2472032-890-2114,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92352-인하대,2017-12-06,104954,WEST
파머스치과의원,Local year generator/sensor warranty,전라남도,순천시,백연길 111 ,061-722-2875,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92070,2017-08-09,108355,WEST
오세홍치과의원,,서울특별시,강남구,강남대로 616,02-576-7528,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91970,2017-07-24,108737,EAST
삼익치과의원,,경기도,의정부시,호원2동  322-5번지 뉴삼익호원가든2차APT상가 3층,031-879-6875,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91483,2017-03-31,102817,EAST
인천세종병원,,인천광역시,계양구,계양문화로 20,032-240-8000,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,92003,2017-02-15,113018,WEST
심미치과,,경기도,의정부시,신곡동 334-2 지상3층,031-844-7522,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91971,2016-07-29,109972,EAST
남양좋은치과,,경기도,화성시,남양읍 시청로7,031-355-8275,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91835,2016-04-12,104528,WEST
골드치과의원,,서울특별시,중랑구,동일로 812,02-3422-2875,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91834,2016-03-21,108460,EAST
오늘안치과의원,,서울특별시,중구,장충단로13길 20,02-2283-2136,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91810,2016-03-07,108490,WEST
이엘치과의원,,경기도,안산시,단원구 광덕동로 39,031-439-2275,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91900,2016-04-25,104036,WEST
강동본치과의원,,서울특별시,강동구,상암로 191,02-479-3048,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91901,2016-04-22,109798,EAST
분당그린치과의원,,경기도,성남시,분당구 성남대로 926번길 6,031-704-2804,ORTHOPHOS XG Ceph/XG 5DS Ceph,5993386,91775,2016-01-21,107444,EAST
프랜드성창수치과의원,,부산광역시,서구,구덕로 281,051-247-7123,C8+ Comfort pack,5943795_2,128333,2015-05-29,100674,EAST
뉴욕수 치과의원,,서울특별시,성동구,한림말길 39,02-794-7528,RETROFIT Ceph -ORTHOPHOS XG,5993402,.,2015-10-30,110793,EAST
신세계정치과의원,,인천광역시,연수구,센트럴로 160,032-851-2082,RETROFIT Ceph -ORTHOPHOS XG,5993402,630407,2016-01-14,106502,WEST
소중치과의원,,서울특별시,송파구,법원로 128,02-527-8877,SIDEXIS XIOS Plus EP 1/2 WB KR,6370345,4008327.5012705.1016.7698.6527,2018-02-27,114869,EAST
고덕서울치과의원,,서울특별시,강동구,고덕로 256,02-481-3336,SIDEXIS XIOS Plus EP 1/2 WB KR,6370345,1044.501299,2017-09-11,110213,EAST
연세우일치과병원,,충청남도,천안시,서북구 서부대로 350,041-579-8787,SIDEXIS XIOS Plus EP 1/2 WB KR,6370345,40008326.5012706.1019.7689,2016-10-13,103684,WEST
인하대학교의과대학부속병원 (인하대병원),,인천광역시,중구,인항로 27,032-890-2472032-890-2114,SIDEXIS XIOS Plus EP 1/2 WB KR,6370345,1013/5012458(S2)4005474(S1),2015-12-28,104954,WEST
스마트하루치과의원,,경기도,안양시,동안구 시민대로 175,031-342-2275,Xios XG Supreme AE USB S2 Sensor 270cm,6618685_S2,71017961(M:2031247 S:72019905),2025-06-20,111557,WEST
화이트치과_강원 강릉시,,강원특별자치도,강릉시,교동광장로 129 2층,033-641-8275,Xios XG Supreme AE USB S2 Sensor 270cm,6618685_S2,S-72019897/M-2030132,2025-05-21,100495,EAST
화이트치과_강원 강릉시,,강원특별자치도,강릉시,교동광장로 129 2층,033-641-8275,Xios XG Supreme AE USB S2 Sensor 270cm,6618685_S2,S-72019845/M-2029877,2025-05-21,100495,EAST
명학하나치과,,경기도,안양시,덕천로 52,031-444-7528,RETROFIT Ceph SL Left,6544527,2495,2025-05-14,107450,WEST
